"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Vehicle_rep1","Vehicle_rep2"
"ALS2CL",58,65,62,69,129,79,81,246,33,400,52,278,106,424,284,825,93,85,10,18,618,7,19
"ALX1",79,0,0,2,1,1,371,4,8,4,624,3,2,1,0,1,1,0,1,0,2,2,1
"ALX3",3,11,11,8,43,9,10,64,5,9,8,4,5,163,38,27,15,3,2,1,7,59,182
"ALX4",23,17,48,11,95,10,26,55,86,45,13,78,60,475,55,22,5,19,16,5,62,3,11
"ALYREF",2811,5620,2147,5646,2191,2899,5071,3516,5534,1914,3409,3871,4326,4003,3467,1387,900,4179,2840,2907,2480,815,4191
"AMACR",91,202,176,276,118,270,179,189,250,213,140,265,244,484,184,299,56,288,243,178,208,91,456
"AMBN",1,12,0,0,2,18,0,0,1,6,2,0,0,0,0,0,1,0,0,3,0,44,154
"AMBP",1,0,20,7,0,4,4,1,0,5,2,4,1,5,2,3,0,1,0,1,2,1,7
"AMBRA1",1119,3428,1393,3708,2064,2540,2484,1319,3980,1630,2274,1471,2679,2623,1695,1911,543,2130,2094,1462,1793,1165,4665
"AMD1",4328,6632,6404,5113,7071,6637,6857,2305,4733,3874,3023,5272,4106,3336,6053,4252,4490,9491,5012,6357,5192,1825,3660
"AMDHD1",115,37,78,83,23,18,49,82,71,38,29,54,11,58,40,45,16,156,62,35,5,11,24
"AMDHD2",329,2780,439,1833,494,1282,1033,809,971,671,589,598,541,1062,478,875,249,803,364,420,768,297,1484
"AMELX",4,0,1,5,2,1,0,2,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0
"AMELY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMER1",335,303,193,576,307,488,793,187,481,173,665,213,467,459,333,288,54,200,141,261,119,179,607
"AMER2",1037,852,107,2976,13624,3339,5631,3713,3287,1954,5771,1065,1269,3636,1511,2827,948,3006,2324,1198,856,168,365
"AMER3",92,8,2,10,271,1,4,12,34,40,788,18,6,69,164,8,20,9,4,41,8,17,36
"AMFR",5997,15975,5817,12400,8473,9124,7338,7471,14941,11558,5504,6089,10604,7567,7600,8793,2796,11172,11180,5121,11480,3679,12944
"AMH",99,31,54,885,218,466,4854,687,989,114,213,446,81,1160,599,128,225,114,107,220,81,14,53
"AMHR2",3,0,0,2,3,1,0,0,1,0,2,1,0,1,2,1,2,0,0,0,1,0,0
"AMIGO1",218,1196,854,404,1280,747,378,785,157,1074,1430,1110,1596,2417,928,1093,397,1315,1419,729,788,371,1435
"AMIGO2",321,113,1044,1875,285,287,168,479,204,1424,55,305,756,1430,288,896,221,6766,537,35,243,287,942
"AMIGO3",1,0,0,2,2,1,9,4,4,4,3,3,1,8,0,2,2,1,2,2,0,237,893
"AMMECR1",288,593,384,489,292,752,832,200,456,273,349,226,654,192,492,250,64,508,188,310,194,245,537
"AMMECR1L",1208,1886,1281,1268,1312,2065,2078,1409,2740,861,1929,1009,2353,1811,1995,1419,472,1889,995,1085,1233,1093,3398
"AMN",13,15,5,24,28,27,32,27,3,9,18,5,2,38,24,3,0,9,5,14,7,3,7
"AMN1",718,305,176,334,376,382,354,316,377,412,513,250,306,284,540,236,121,366,148,178,290,298,546
"AMOT",2920,4000,1233,3186,3719,4590,2110,1621,3325,1695,1343,1577,1070,8332,2221,2562,394,960,3794,1105,1327,2348,7344
"AMOTL1",1885,4594,5400,5596,2577,2449,3628,1388,5280,1917,2170,2673,4426,4655,2196,2626,509,3761,2940,2393,1640,3298,11486
"AMOTL2",2086,1257,1217,1179,6464,1368,7683,1274,8024,1669,13799,790,1323,1611,6810,1366,459,1501,851,597,969,1831,9112
"AMPD1",1,2,0,0,2,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"AMPD2",1743,5755,2124,3538,3063,2919,4924,3279,4109,2906,3630,2217,3507,3118,2822,2764,881,4731,3323,2386,3238,1415,5848
"AMPD3",302,666,1204,871,3087,1468,1649,883,1126,1227,468,977,332,1538,853,1267,247,6127,759,343,1089,13,45
"AMPH",697,206,617,2240,1106,400,2416,1504,1279,1009,1989,1214,98,1760,1124,467,292,179,556,483,450,282,1039
"AMT",138,2016,284,1058,351,293,910,1713,360,2163,360,1063,224,3472,501,753,297,895,724,925,359,122,443
"AMTN",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"AMY1A",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"AMY1B",1,2,2,5,0,0,0,5,1,6,1,0,1,1,2,2,2,0,1,0,1,0,0
"AMY1C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMY2A",3,2,1,3,10,2,1,3,5,3,11,0,0,4,4,1,1,0,2,3,1,0,0
"AMY2B",136,174,140,93,347,99,663,1189,206,452,329,91,150,787,161,385,208,151,51,201,170,11,21
"AMZ1",137,200,18,64,748,161,245,244,152,34,535,220,103,325,319,112,20,214,66,217,60,4,8
"AMZ2",5246,6931,2945,3615,4048,4516,3540,5744,5168,4687,3581,3900,3887,6076,4598,3389,1231,5155,3296,3727,4459,1709,4587
"AMZ2P1",1244,1034,563,838,912,1124,1221,2100,1345,1400,1038,745,940,1832,1335,991,528,1012,418,805,840,295,922
"ANAPC1",455,1203,414,791,684,1146,1350,539,995,453,942,546,1321,1131,843,778,200,1052,640,938,575,778,2351
"ANAPC10",481,552,489,675,344,585,417,484,410,473,251,305,575,410,519,432,227,780,396,308,416,185,424
"ANAPC11",5393,6903,2777,5861,2427,3655,5116,9623,7981,5117,3537,6418,4791,4034,5785,2287,2113,6781,2875,2397,4691,1690,7244
"ANAPC13",2321,3374,1942,2388,2519,3164,2541,2689,4307,2541,3852,2605,3083,4490,3285,2041,910,3210,3045,3109,2541,1479,3568
"ANAPC15",488,525,373,393,384,489,721,698,524,537,757,464,511,456,517,272,262,755,313,326,684,180,598
"ANAPC16",2311,5462,2513,3187,2628,4236,3861,2657,2561,3182,2040,3350,1929,2166,2779,2844,1455,3247,1933,1662,2307,1502,3794
"ANAPC1P1",1,1,0,2,0,3,1,3,1,2,1,2,4,5,1,0,1,2,1,1,0,0,1
"ANAPC2",1079,2971,1067,2028,1589,2176,5229,3774,3281,2185,2585,2144,2534,8561,2358,1073,941,2398,1592,2330,1788,954,4554
"ANAPC4",856,1435,930,985,955,1363,1712,1808,1043,1012,881,825,1397,1533,1323,1027,448,749,918,1675,997,592,1237
"ANAPC5",6884,6893,3680,7704,5020,5767,8144,9259,7955,4926,6178,6611,5841,9828,7735,4592,2602,6776,3339,3867,4656,2332,7667
"ANAPC7",1943,4338,2251,3757,1885,2999,3399,4892,3733,1680,3392,2700,3830,2692,3607,2205,1196,3339,1636,1270,1896,1523,4461
"ANG",165,327,211,191,257,229,115,101,66,302,132,244,227,243,115,314,90,437,283,504,155,25,50
"ANGEL1",1074,1106,430,943,2341,1526,1970,2366,1601,1413,2001,1872,1612,2436,2150,1334,994,2073,683,975,1651,523,1819
"ANGEL2",1482,1825,914,1554,1107,1772,2177,1542,1500,1189,1779,1346,1944,2227,1869,1024,551,1789,545,1325,1133,840,1958
"ANGPT1",202,380,312,60,374,264,692,201,105,393,121,2325,1383,1979,116,1126,145,1876,634,41,688,550,1188
"ANGPT2",1000,2355,1577,549,2624,4095,1094,2316,636,812,2541,958,4710,2151,4010,4700,1879,5474,2268,777,3180,12,20
"ANGPT4",9,40,2,70,24,42,30,110,98,12,19,107,1,54,39,4,2,6,4,0,8,0,1
"ANGPTL1",24,150,100,152,88,531,39,343,289,411,41,27,1819,876,71,343,31,68,63,12,50,94,229
"ANGPTL2",3380,5620,3712,36397,6852,5369,8868,3670,10460,2550,10313,1235,7166,2063,6473,2923,993,8465,1976,1139,4488,530,2078
"ANGPTL3",2,3,1,0,1,3,1,3,3,0,1,2,1,1,4,0,0,1,0,7,0,0,0
"ANGPTL4",1434,3770,26786,236,3239,2905,1324,589,1699,749,2136,1112,1308,238,2080,1963,731,2664,4994,9271,19362,1170,4928
"ANGPTL5",6,1,42,4,6,6,3,2,7,18,1,29,0,9,8,9,1,1,0,0,2,1,0
"ANGPTL6",25,89,15,226,59,213,128,76,113,127,35,247,32,57,78,49,38,28,19,23,76,0,11
"ANGPTL7",132,6,9,6,10,1,8,1,40,12,3,2,0,2,8,9,119,4,2,2,21,2,10
"ANHX",0,2,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"ANK1",130,48,1233,61,644,52,36,331,399,160,334,833,396,287,228,90,103,644,461,429,230,592,2401
"ANK2",2843,35384,7052,8341,13579,15425,1933,8564,10159,9096,6950,5807,10632,20425,7617,5372,1752,10844,15155,4506,5807,8804,27290
"ANK3",1002,431,198,573,5669,1357,4518,472,639,1141,1298,188,1018,740,772,676,180,377,450,337,479,508,1530
"ANKAR",95,88,63,109,71,102,115,88,97,81,61,77,101,170,90,69,41,89,44,98,56,27,32
"ANKDD1A",205,546,557,559,401,510,667,944,238,187,196,314,507,1081,267,321,140,778,285,239,367,86,260
"ANKDD1B",18,17,17,237,10,21,12,105,24,19,12,10,21,87,15,11,6,11,3,9,15,16,27
"ANKEF1",375,30,340,213,92,211,30,39,53,330,10,94,13,357,152,40,15,143,125,82,30,101,296
"ANKFN1",73,395,62,373,220,585,295,356,268,219,183,353,276,1317,278,161,65,193,324,229,181,136,393
"ANKFY1",2518,6721,3420,6644,5944,9094,8436,6254,4673,5905,2721,5769,9816,12377,6577,6249,1757,5851,6043,5601,5811,4040,14229
"ANKH",2390,2782,10092,6224,6883,2638,6042,1905,4198,4200,4005,2912,3151,2604,3734,4194,1221,15534,4010,996,3217,527,1771
"ANKHD1",210,332,135,357,213,262,419,102,120,85,141,140,177,292,118,162,37,137,80,233,80,46,76
"ANKHD1-EIF4EBP3",111,227,183,337,169,187,370,233,190,148,137,110,160,229,93,129,38,189,85,38,85,7,21
"ANKIB1",3152,14099,3796,5520,5359,11475,7217,5058,5153,4573,3506,5030,7296,11198,7218,4339,1195,4630,5205,5178,5362,2951,7737
"ANKK1",47,18,18,9,30,13,9,46,0,47,2,4,32,393,16,29,14,17,1,13,14,1,3
"ANKLE1",47,89,26,124,49,75,370,351,87,56,199,64,108,123,86,25,49,51,12,36,53,20,48
"ANKLE2",2227,4284,4203,4630,2477,3946,4101,3239,3205,1756,2634,2760,3939,4239,2667,2308,992,3700,2257,1524,2122,1318,4012
"ANKMY1",232,679,285,407,280,462,828,631,602,409,448,498,447,1463,278,332,162,429,161,135,400,78,280
"ANKMY2",1168,2350,1142,1178,1386,2366,2356,1790,1524,1633,1957,1619,2505,1734,2200,2247,519,2413,1455,1962,1730,638,1560
"ANKRA2",520,681,633,831,685,777,928,804,675,438,920,715,657,1208,1081,697,326,1162,591,923,746,457,1161
"ANKRD1",218,3,100,10,16,8,2,10,48,7,3,1,10,4,2,5,1,41,2,16,9,2279,6366
"ANKRD10",3058,7332,1925,5115,2476,3909,11445,13762,6300,2685,3871,2156,4844,5493,2440,2406,1489,8176,1080,2527,2691,844,2418
"ANKRD11",2477,5611,2118,5635,4723,6045,8696,3180,5510,2998,2652,3016,6304,8899,3341,2823,1082,4701,3426,3552,2921,2484,9762
"ANKRD12",1083,1481,1575,2258,2368,4069,1826,2403,1521,1396,1972,923,1864,3333,1596,1981,441,1583,1411,1027,863,1176,1958
"ANKRD13A",1292,3396,1217,2889,2546,2270,2097,1986,3840,1740,3687,1480,2027,2058,2553,2003,532,2226,1574,776,1692,1311,3961
"ANKRD13B",956,1353,368,1337,1602,897,6171,2228,3448,1067,2769,744,1171,1962,1789,741,251,1065,419,648,539,465,2019
"ANKRD13C",1056,1815,959,1873,1274,1654,962,820,1198,870,1067,988,1732,1368,1242,1075,295,1356,1643,1663,854,1025,2804
"ANKRD13D",1003,1725,1881,1587,1052,1396,2194,2887,1825,1415,1251,1382,1175,2190,1337,1019,702,2579,611,854,1253,508,2065
"ANKRD16",358,498,167,302,216,452,687,358,416,246,521,420,352,292,224,204,101,283,119,237,309,154,637
"ANKRD17",2555,6938,3645,5574,5516,7257,7610,4024,5328,3346,4925,3044,8764,8315,4599,4491,1062,5655,4890,3242,3124,4166,13157
"ANKRD18A",1,3,2,14,90,21,54,0,13,1,20,1,0,4,22,7,0,11,0,5,1,7,4
"ANKRD18B",40,0,3,2,43,4,2,3,2,1,11,2,0,9,9,0,2,0,0,7,0,3,8
"ANKRD18DP",3,5,4,91,3,25,0,2,4,6,2,6,3,5,6,3,2,21,1,1,1,0,0
"ANKRD19P",71,61,58,51,69,63,190,112,84,51,70,32,60,90,66,30,24,80,40,25,34,26,97
"ANKRD2",3,31,7,22,7,99,4,33,3,11,3,11,2,51,3,4,4,4,3,9,6,2,16
"ANKRD20A1",6,16,6,6,9,10,114,1,12,1,16,4,18,4,9,5,1,8,4,20,1,0,0
"ANKRD20A11P",17,0,5,1,2,2,1,1,0,3,2,7,10,0,4,1,5,3,0,0,27,0,0
"ANKRD20A19P",2,0,1,9,0,2,90,2,0,0,1,3,1,3,2,2,1,1,0,1,0,0,0
"ANKRD20A5P",1,0,2,0,5,0,1,3,2,5,3,1,3,7,1,1,5,0,0,2,0,2,1
"ANKRD20A8P",3,0,0,0,1,1,4,0,3,0,1,1,4,0,0,0,0,0,1,0,0,0,2
"ANKRD20A9P",2,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1
"ANKRD22",22,134,187,283,122,329,56,199,1086,137,36,454,129,150,329,285,287,143,190,45,818,0,1
"ANKRD23",21,42,21,43,52,40,158,197,61,81,84,28,29,181,56,48,29,40,7,14,18,39,144
"ANKRD24",105,325,230,155,357,159,450,438,488,261,258,184,131,2826,240,171,82,123,363,691,133,72,280
"ANKRD26",344,629,223,610,331,700,1020,267,207,152,237,382,280,530,295,220,71,260,176,271,138,355,600
"ANKRD26P1",10,4,0,10,2,10,11,5,2,4,2,1,0,6,2,0,0,2,0,0,1,0,1
"ANKRD26P3",1,0,0,2,0,0,0,0,2,1,0,0,0,0,1,2,0,1,0,0,1,0,0
"ANKRD27",861,1752,1107,1486,1372,1439,1341,1380,1771,1070,1623,1000,1808,1770,1290,1127,333,1134,1065,1904,875,519,1753
"ANKRD28",975,2810,2165,2351,2983,2627,3747,1235,4135,2287,2842,1244,3082,3089,2101,4563,572,2967,1720,2451,1326,1426,3950
"ANKRD29",28,36,820,160,99,47,38,132,17,216,72,204,50,195,109,268,76,97,64,57,246,14,39
"ANKRD30A",0,0,1,1,0,0,0,0,0,3,1,1,1,0,0,2,0,0,0,0,1,0,0
"ANKRD30B",0,0,0,1,9,2,1,2,0,1,0,1,0,8,6,2,1,1,0,2,2,0,0
"ANKRD30BL",12,2,0,1,5,0,1,0,3,0,2,4,0,9,8,1,3,0,0,5,3,24,73
"ANKRD30BP2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD30BP3",0,1,0,0,2,4,0,4,0,0,0,3,3,1,0,1,2,7,1,0,0,0,0
"ANKRD31",34,13,2,26,14,21,66,7,36,7,9,20,1,46,10,2,2,0,0,6,10,9,5
"ANKRD33",2,2,1,0,0,5,7,2,1,2,0,0,1,2,3,0,1,4,0,0,4,0,3
"ANKRD33B",185,641,299,754,407,88,340,159,146,167,897,553,312,215,298,167,68,164,111,115,190,156,598
"ANKRD34A",520,163,98,154,188,115,228,105,141,95,401,410,266,340,227,114,59,204,64,157,204,82,297
"ANKRD34B",278,89,5,4,8,0,3,3,4,13,6,4,3,1,9,2,4,11,5,8,9,1664,4234
"ANKRD34C",1,3,3,1,5,0,0,2,1,1,1,0,2,3,11,0,6,1,1,4,1,0,0
"ANKRD35",134,415,648,631,596,322,125,888,153,885,405,1368,1244,828,568,354,243,1644,647,284,556,131,575
"ANKRD36",67,88,62,149,106,92,278,161,55,52,52,45,137,346,137,112,30,96,31,146,46,36,88
"ANKRD36B",37,39,42,63,83,102,78,45,62,48,95,25,37,105,47,63,10,88,28,58,20,22,64
"ANKRD36BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,318
"ANKRD36BP2",16,3,2,2,9,1,8,4,2,9,12,5,3,35,40,2,2,2,0,5,1,0,1
"ANKRD37",193,335,133,112,185,273,378,278,291,295,179,248,222,356,263,234,131,335,153,294,252,18,103
"ANKRD39",389,448,363,448,333,294,676,341,641,254,289,325,284,515,410,275,147,541,175,130,244,126,603
"ANKRD40",1599,5614,3866,3826,7406,6497,6254,4338,5280,4313,2656,4503,4224,5616,5754,2105,1297,5244,3437,2270,3474,2113,5712
"ANKRD42",405,822,1195,760,507,796,385,808,821,640,392,343,811,745,495,721,130,1210,675,780,505,271,919
"ANKRD44",898,877,455,798,978,1034,1904,1467,1347,1106,1002,924,991,1822,1210,951,327,1180,733,625,665,205,636
"ANKRD44-IT1",0,1,2,1,4,1,2,2,2,0,2,1,3,5,0,2,1,0,1,2,1,1,0
"ANKRD45",209,614,162,180,131,388,40,127,90,286,73,253,149,184,63,375,37,176,113,236,266,423,1063
"ANKRD46",884,1028,912,1669,1650,1395,1599,1244,2091,1651,2023,1878,1027,5642,3155,1195,556,1091,643,895,860,505,1164
"ANKRD49",777,582,374,519,374,533,449,571,556,612,518,362,455,582,762,496,232,571,291,874,424,222,436
"ANKRD50",1099,1492,723,1375,1025,2158,2449,595,851,699,2085,587,1846,1726,1551,1233,245,946,641,427,788,1359,3243
"ANKRD52",2232,5544,3635,5358,2186,5336,5423,4482,4199,3193,1385,2177,5139,16338,2793,3011,911,4020,3296,1585,3554,3143,10737
"ANKRD53",90,145,128,100,73,114,53,280,25,236,116,164,62,235,106,159,42,136,69,33,124,19,116
"ANKRD54",1745,3609,831,2399,1013,1996,3213,2246,1666,1983,1255,1436,1524,1561,1016,1024,491,1676,595,782,1193,640,2554
"ANKRD55",63,12,24,99,18,20,49,12,14,13,79,46,5,14,27,17,7,39,15,8,11,2,15
"ANKRD6",884,1696,416,1141,1096,1961,724,1433,1669,1388,982,955,512,3073,2271,484,267,966,1014,343,955,987,3109
"ANKRD61",15,55,14,25,17,56,55,25,10,18,16,21,25,90,36,16,10,12,17,25,17,4,17
"ANKRD62",0,4,0,2,0,0,1,2,2,0,0,2,1,2,0,1,1,0,0,0,0,0,0
"ANKRD62P1-PARP4P3",0,0,0,0,1,2,0,0,29,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"ANKRD63",0,33,0,0,1,9,0,3,0,4,1,6,3,3,1,1,0,0,3,15,8,13,76
"ANKRD65",109,173,340,191,1394,205,401,248,180,63,163,474,630,1267,162,254,80,473,18,61,199,10,20
"ANKRD66",0,0,40,1,0,2,3,51,4,116,2,0,0,3,4,2,1,2,0,0,1,0,0
"ANKRD7",44,117,17,50,26,117,0,26,63,69,57,65,3,87,2,4,2,25,28,28,18,8,11
"ANKRD9",154,2259,848,2778,800,1914,802,1266,157,523,538,2127,1209,1765,693,623,311,560,1687,1523,582,114,620
"ANKS1A",826,2372,1146,1530,1729,2072,2618,1609,3284,1437,1890,1471,1757,2686,1832,1898,853,1850,1516,1213,1541,1076,4413
"ANKS1B",1568,393,171,664,4300,1125,1559,271,799,439,1350,208,234,850,2009,482,230,1593,1595,179,150,336,864
"ANKS3",516,890,236,884,639,750,1749,1824,1017,1072,1285,484,818,2057,1125,708,327,907,323,577,552,268,1299
"ANKS4B",3,2,1,0,0,0,3,0,0,1,0,0,1,3,1,1,1,1,0,1,0,0,0
"ANKS6",987,1319,859,928,1408,1148,3028,1736,1495,1228,1498,1221,1940,2609,801,662,295,1545,736,1067,680,520,1776
"ANKUB1",5,207,93,122,5,35,4,51,9,42,4,38,7,144,17,16,7,14,40,1,19,5,6
"ANKZF1",691,1627,520,1013,1035,1438,3056,3676,970,1737,1596,948,930,4480,1507,1344,673,1454,578,1532,717,470,1481
"ANLN",938,6360,498,7420,12861,8212,5618,569,2957,841,2982,2020,3311,2592,2964,1772,949,3702,1626,2363,602,1001,2453
"ANO1",61,74,289,78,58,264,48,82,143,59,86,97,261,130,326,130,224,164,246,167,195,32,116
"ANO10",1484,1652,1495,1309,1223,1784,1682,1408,4002,1420,1115,1661,1776,1377,1523,1284,574,2287,1299,891,1752,963,3039
"ANO2",24,35,24,53,26,67,35,86,39,40,49,38,32,163,53,81,53,48,214,29,38,5,17
"ANO3",34,7,7,6,216,25,23,12,401,88,64,27,33,61,266,33,32,7,10,33,16,6,6
"ANO4",16,84,80,63,782,202,114,46,80,40,334,28,31,103,175,81,22,1930,9,52,57,146,424
"ANO5",541,827,236,53,672,214,115,585,364,625,1287,184,14,1453,554,48,44,295,292,64,358,274,654
"ANO6",2547,7616,5836,5257,4323,7123,2781,4130,6360,4351,1481,5780,7124,6129,4197,3008,1474,5308,5635,3385,6828,3083,8729
"ANO7",10,67,44,55,119,37,169,463,43,70,43,114,73,80,79,72,41,96,33,33,58,15,30
"ANO8",1069,1291,605,1191,1516,1111,6816,2702,2807,974,3194,2794,1640,4535,1845,1204,694,879,837,1261,1061,508,2110
"ANO9",6,23,10,22,10,10,4,39,15,17,3,40,2,32,8,19,16,18,1,7,14,0,2
"ANP32A",2557,4709,3646,4250,6565,6632,8943,4684,6583,2442,6070,4517,9668,5198,4229,3700,1412,7946,4363,4826,3547,3717,8667
"ANP32AP1",4,18,4,6,10,20,34,17,15,12,21,7,32,13,8,13,6,28,13,12,9,3,0
"ANP32B",3657,8278,6063,8707,7564,8084,9764,4317,13565,2888,7328,4363,8109,4881,6027,2778,1243,7487,4861,5255,3303,1714,5263
"ANP32C",8,6,9,14,8,13,21,8,20,1,16,11,31,12,9,12,1,20,5,9,8,0,2
"ANP32D",4,0,2,3,2,8,2,1,4,2,7,5,9,6,5,1,0,7,2,2,2,0,2
"ANP32E",2503,5421,2831,5173,4180,5168,4307,2413,3356,1999,3998,4020,6267,3598,3333,2952,791,4303,4061,4978,1779,1976,4247
"ANPEP",259,251,2993,253,245,625,290,350,155,824,279,257,478,269,610,1144,201,514,272,193,1370,8,22
"ANTXR1",2479,2703,5412,12329,8099,5280,7399,6308,13640,12062,5841,7283,12390,12452,10940,6060,4119,5694,6011,3589,5355,6446,17358
"ANTXR2",272,879,3466,1547,918,2155,683,1121,1578,1220,1259,1003,1305,1485,1383,1271,197,3276,1069,516,970,982,2572
"ANTXRL",2,2,2,12,18,1,9,1,9,0,1,0,0,15,0,1,0,0,0,0,1,0,0
"ANTXRLP1",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"ANXA1",3128,52833,34310,48472,8807,24679,1463,19317,17324,17094,2163,9662,20717,18494,4972,14913,6556,21704,17329,8250,17156,10242,31652
"ANXA10",1,0,3,3,2,1,2,0,1,0,1,0,1,3,7,4,0,0,1,0,0,0,0
"ANXA11",2707,3525,3639,5077,3647,4114,1603,2238,3717,2550,1244,4195,1932,2772,2596,2924,933,5083,2010,1350,3290,1127,5025
"ANXA13",2,11,36,180,40,20,14,26,30,49,5,11,6,51,12,46,12,11,6,1,39,1,4
"ANXA2",14066,24750,60572,31432,11958,33577,4492,12919,3433,14162,3459,14712,39079,22170,6877,11307,5311,40991,18765,13604,33759,20432,63373
"ANXA2P1",24,17,46,35,23,38,13,21,8,16,6,14,55,28,10,21,5,52,14,14,33,4,25
"ANXA2P2",397,533,832,722,222,948,144,197,69,317,147,328,1165,703,134,249,185,1198,325,287,829,68,273
"ANXA2P3",9,11,18,15,5,11,2,7,1,14,2,2,21,18,3,1,7,26,10,4,15,29,33
"ANXA2R",656,1212,122,286,139,118,124,479,59,273,236,1125,269,732,199,403,55,209,339,376,172,26,111
"ANXA3",23,20,100,44,26,54,39,28,11,26,27,47,13,98,107,27,12,42,10,11,52,88,285
"ANXA4",792,2020,4799,2871,1691,2035,784,1353,2708,2544,558,2170,1253,1409,1392,2563,731,3151,1975,872,2582,708,2514
"ANXA5",11862,48307,35196,22678,15251,33311,11944,55198,21102,23847,13260,21700,71486,30213,21020,15361,13898,36840,36725,16202,26356,22647,68291
"ANXA6",11491,7270,7172,9375,8260,12937,14304,9318,12091,7670,8995,10534,13834,11679,8594,8100,2153,7163,5490,3262,5388,6688,25374
"ANXA7",3185,7794,3943,6525,3994,5671,4076,2960,5367,3900,1994,4069,3387,2605,3701,3473,1485,4790,2661,2663,4086,2695,8709
"ANXA8",1,5,92,3,0,1,2,0,2,0,2,21,0,4,4,0,0,0,0,1,0,0,0
"ANXA8L1",1,7,23,23,5,2,2,34,1,0,0,3,3,67,11,2,0,3,2,2,0,0,0
"ANXA9",359,254,88,131,514,199,533,403,340,415,511,237,196,276,233,460,83,893,251,287,202,140,353
"AOAH",121,515,545,581,708,612,207,419,1163,1568,239,1501,192,487,547,1245,334,523,769,98,1298,2,11
"AOAH-IT1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AOC1",6,2,11,5,7,2,4,15,1,23,2,10,10,8,7,32,2,6,2,2,13,0,0
"AOC2",52,60,33,34,47,59,87,41,210,27,85,8,23,30,69,45,15,49,45,76,51,18,50
"AOC3",112,129,385,157,92,202,190,68,271,55,42,40,35,48,164,206,23,255,61,69,114,4,12
"AOC4P",0,2,2,2,2,0,2,1,4,1,2,0,1,0,2,0,2,2,0,0,1,0,0
"AOX1",140,147,720,103,117,73,98,208,87,379,336,164,44,26,130,172,54,97,140,98,487,13,42
"AOX2P",3,3,0,0,2,1,5,0,0,3,0,0,0,8,0,0,0,1,0,1,2,0,0
"AP1AR",606,1101,834,941,971,1088,792,665,2133,1225,1036,539,858,1508,1271,880,221,1138,542,602,882,382,952
"AP1B1",3895,21597,8027,12225,10087,11275,11338,7075,15028,8035,6981,10299,8115,5748,5313,11883,2958,11563,6499,2896,12700,3653,16132
"AP1B1P1",0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
"AP1G1",2958,5691,2305,4244,4854,5440,7597,3128,5796,3706,2297,3456,6582,6215,5436,4045,1269,4772,3797,5710,3597,4392,11619
"AP1G2",212,680,222,749,330,539,666,778,470,564,264,524,257,2735,532,512,279,529,247,481,400,73,276
"AP1M1",4468,7039,4730,5306,4278,4313,9744,5708,11152,3407,6445,5177,7599,6124,3854,2917,1617,5039,3846,3887,6774,2088,7881
"AP1M2",3,0,0,3,1,3,10,2,2,2,6,6,0,10,2,0,2,3,0,3,0,1,1
"AP1S1",5653,5910,3300,1922,2411,3774,6257,4240,4191,3904,5117,5098,3852,3114,5121,2535,1209,8119,2872,2726,4808,1811,6379
"AP1S2",4466,26215,4259,11674,3268,30570,4007,3101,3968,5501,2618,4352,4358,15588,2804,4484,1943,11601,2979,5159,3895,5143,7490
"AP1S3",64,197,219,36,60,89,22,63,15,83,50,39,75,41,69,50,14,315,80,58,75,109,186
"AP2A1",4641,14328,4489,10092,6697,7404,8859,6712,6399,5110,3788,10740,10374,9337,6467,4973,1804,6809,8879,9642,5731,4133,18422
"AP2A2",3453,8183,3388,5858,4424,6664,9596,6525,6754,4283,5173,4515,7732,5813,4105,6099,1424,5927,4122,3067,5281,2639,11317
"AP2B1",12751,27665,10444,13983,18688,25804,28705,13528,25159,14619,14783,12985,24203,22537,20909,14572,3907,19591,14098,17520,14303,16009,50794
"AP2M1",15186,30363,18521,29188,15256,23195,23792,28999,33220,19843,17248,25774,26875,26377,18683,19287,6598,35702,18683,16154,24513,12825,48770
"AP2S1",4247,7853,4346,6664,2863,4468,3616,5771,4020,3967,2117,7327,6110,2991,4824,3305,2092,7644,4306,3010,4594,1817,6430
